n, meilleur, bellman, dijkstra
1,7,21,19
51,629,2765,1727
101,1287,4870,4809
151,1021,8876,7648
201,1283,7180,10480
251,1380,10902,12728
301,1942,9269,17488
351,1326,6829,16365
401,1287,8174,20163
451,1706,10772,25659
501,1736,11134,31290
551,1793,11155,35261
601,1241,11944,26268
651,2257,14268,51497
701,398,14511,7872
751,2291,19951,63586
801,2473,19919,67405
851,2345,21842,91150
901,3487,19804,98516
951,3566,20912,112119
1001,3140,21823,110433
1051,2601,23360,85449
1101,1476,28560,48848
1151,4023,25996,159305
1201,3855,29133,163410
1251,2028,33710,75639
1301,3777,31943,175656
1351,2753,29537,123401
1401,1600,31491,68994
1451,2369,32139,104603
1501,2409,34274,118360
1551,4914,34941,272590
1601,3231,42261,170356
1651,4235,39487,252171
1701,1270,37796,146861
1751,6761,52256,383080
1801,2832,44462,164076
1851,2169,45158,123518
1901,3810,45879,424895
1951,6544,56150,446414
2001,5951,53671,401781
2051,5360,55423,379270
2101,7305,57436,523318
2151,5011,53067,357753
2201,7868,54671,559410
2251,4398,55067,323982
2301,4045,70537,311895
2351,7106,58455,541139
2401,3912,81527,307452
2451,2554,60845,193837
2501,2865,63327,223077
2551,1848,64027,312833
2601,1690,68658,124092
2651,10345,84746,870875
2701,4473,73554,386807
2751,10238,82881,922730
2801,9047,70581,857875
2851,6820,82073,628768
2901,8748,72276,845565
2951,11571,80309,1079678
3001,12275,83983,752323
3051,12022,83520,1148185
3101,3681,83909,338641
3151,12078,98710,1220545
3201,2067,94865,185114
3251,3050,86194,1109293
3301,8445,87603,936441
3351,12655,117683,1372219
3401,9470,92935,1101787
3451,12411,92907,1387300
3501,1409,97116,144098
3551,9265,89735,1555757
3601,10026,98730,1206621
3651,10998,89658,1355072
3701,7269,90237,883095
3751,8327,93416,1019141
3801,5342,99724,618345
3851,15055,114451,1784971
3901,13697,132620,1742241
3951,10675,97213,1408065
4001,4222,117472,494385
4051,10472,109497,1391621
4101,17250,102954,2064790
4151,4182,120792,419721
4201,836,115620,101627
4251,14124,124986,1912976
4301,6609,145641,863294
4351,2538,108538,323051
4401,16516,117870,2234737
4451,10172,135415,1445311
4501,9586,141862,1398936
4551,7550,134328,1068746
4601,13902,137654,2084546
4651,14243,129120,2018744
4701,7873,137774,1151617
4751,19351,129133,2751755
4801,15004,131798,2316970
4851,12531,136256,1859198
4901,14370,158424,2212284
4951,18755,181859,3003063
5001,18558,157672,2887411
5051,17806,134853,2874878
5101,20796,127861,3140227
5151,18343,170766,2865268
5201,2997,151853,421050
5251,9782,141257,1535198
5301,11472,160157,1829923
5351,11547,132168,1917709
5401,1490,135053,216593
5451,21901,149897,3599613
5501,1681,164900,250753
5551,18320,164151,3250033
5601,12794,167359,2522517
5651,23125,166268,3890703
5701,15093,169964,2679438
5751,15620,154471,2822201
5801,3341,174087,551477
5851,23781,166678,6776181
5901,24089,146313,4221922
5951,24182,173924,4232278
6001,17121,178572,4146005
6051,11734,192810,2081420
6101,11440,180236,2119613
6151,24754,170900,4609704
6201,1237,181812,212361
6251,353,214804,221364
6301,19836,212864,3951662
6351,22785,198964,4621581
6401,2954,190280,504879
6451,23225,172325,5284326
6501,41655,454071,5550041
6551,13910,198815,5490503
6601,40950,199427,8081680
6651,13340,213445,2649500
6701,5905,200483,1130023
6751,13182,264773,2694589
6801,12964,215175,2657028
6851,17128,213515,3904772
6901,32290,217911,6661115
6951,6471,251324,1343325
7001,30937,230683,6076638
7051,26368,232421,5902743
7101,30603,212917,6580571
7151,39332,355841,7787448
7201,17358,336389,4072657
7251,6950,337716,1527945
7301,37524,263787,7912522
7351,12971,339790,2714348
7401,4976,238875,1052513
7451,28426,261160,6698841
7501,20783,234473,5003510
7551,17896,294738,4243200
7601,30719,297098,7164295
7651,5587,290599,1183754
7701,33558,257075,7490952
7751,34561,290374,8585586
7801,3966,304523,839325
7851,20248,312584,4882183
7901,26495,232675,6847359
7951,24710,297417,6184434
8001,37514,299130,8836986
8051,25963,332724,6804355
8101,8828,307101,1941802
8151,27636,253884,6673703
8201,38638,304010,8687814
8251,38469,297352,8968079
8301,29601,307014,8475864
8351,40376,340412,9439863
8401,30946,271836,7669093
8451,31254,284229,9342437
8501,38895,439774,6903017
8551,24094,310731,5698260
8601,32865,256653,9037234
8651,8415,340805,2032918
8701,41722,291664,15266484
