n, ajouter(), supprimerMin(), diminuer(), getMin()
1,1,2,1,0
21,1,3,0,1
41,0,5,1,0
61,1,6,0,1
81,1,9,0,0
101,0,10,0,0
121,1,12,0,1
141,0,14,0,0
161,0,16,0,0
181,1,18,0,1
201,0,22,0,0
221,1,21,0,0
241,0,24,1,0
261,1,26,0,0
281,0,28,1,0
301,1,31,0,0
321,0,32,1,0
341,0,34,0,0
361,0,37,0,0
381,0,37,0,0
401,0,40,1,0
421,0,42,1,0
441,0,45,1,0
461,1,45,0,1
481,1,47,0,0
501,0,50,1,0
521,0,52,0,0
541,0,55,0,0
561,0,57,0,0
581,0,60,0,0
601,0,58,0,0
621,1,62,0,1
641,1,63,0,1
661,0,67,0,0
681,1,69,0,1
701,0,70,0,0
721,0,74,0,0
741,0,77,1,0
761,0,77,0,0
781,0,78,0,0
801,1,81,0,1
821,0,83,0,0
841,0,84,0,0
861,0,86,1,0
881,0,88,1,0
901,0,92,1,0
921,0,101,1,0
941,1,97,0,1
961,0,106,1,0
981,0,99,0,0
1001,0,103,0,0
1021,1,103,0,1
1041,1,106,0,1
1061,0,83,0,0
1081,1,97,0,0
1101,0,110,0,0
1121,0,85,0,0
1141,0,106,0,0
1161,1,110,0,0
1181,0,117,1,0
1201,0,116,0,0
1221,0,115,0,0
1241,0,117,0,0
1261,0,118,0,0
1281,0,121,0,1
1301,1,122,0,0
1321,0,124,1,0
1341,0,128,0,0
1361,1,128,0,0
1381,1,129,0,0
1401,0,139,0,0
1421,1,132,0,0
1441,0,135,0,0
1461,0,137,0,0
1481,1,141,0,1
1501,1,140,0,0
1521,0,141,0,0
1541,0,148,0,1
1561,0,145,1,0
1581,0,150,1,0
1601,1,152,0,1
1621,0,153,1,0
1641,1,143,0,0
1661,1,175,0,0
1681,1,161,0,1
1701,0,158,1,0
1721,0,164,0,1
1741,0,164,0,0
1761,1,157,0,0
1781,0,157,0,0
1801,0,156,0,0
1821,0,162,0,0
1841,0,162,0,0
1861,0,165,1,0
1881,1,163,0,0
1901,0,166,0,1
1921,0,195,1,0
1941,0,169,0,0
1961,0,179,0,1
1981,0,153,0,0
2001,0,159,1,0
2021,0,153,0,0
2041,1,197,0,1
2061,0,189,0,0
2081,0,207,0,1
2101,1,186,0,0
2121,1,186,0,0
2141,0,179,0,1
2161,1,188,0,0
2181,0,190,0,1
2201,1,192,0,0
2221,0,203,1,0
2241,0,199,0,0
2261,0,200,1,0
2281,0,201,0,1
2301,0,203,0,1
2321,0,204,1,0
2341,0,206,0,1
2361,1,195,0,1
2381,0,197,0,1
2401,0,195,0,1
2421,0,208,0,0
2441,1,198,0,0
2461,1,201,0,0
2481,0,205,1,0
2501,0,209,0,0
2521,0,206,0,0
2541,0,209,0,1
2561,1,227,0,0
2581,0,216,1,0
2601,0,213,0,0
2621,1,215,0,0
2641,1,217,0,0
2661,0,219,0,0
2681,0,222,0,0
2701,0,224,0,1
2721,0,225,0,1
2741,1,233,0,0
2761,0,229,0,0
2781,0,228,0,0
2801,0,233,0,0
2821,0,232,0,0
2841,1,233,0,0
2861,1,226,0,0
2881,1,222,0,0
2901,1,225,0,0
2921,0,236,0,0
2941,1,229,0,0
2961,0,228,0,0
2981,0,233,0,0
3001,0,245,1,0
3021,0,235,0,1
3041,0,236,0,0
3061,0,239,0,0
3081,0,241,0,0
3101,1,237,0,0
3121,0,240,0,1
3141,1,243,0,0
3161,0,255,0,0
3181,0,248,0,1
3201,0,255,0,0
3221,0,249,0,0
3241,0,254,0,0
3261,0,254,0,0
3281,0,255,0,0
3301,0,261,0,0
3321,0,243,0,1
3341,0,259,0,0
3361,0,246,0,0
3381,0,251,0,0
3401,0,249,0,0
3421,0,248,0,1
3441,1,254,0,0
3461,0,251,1,0
3481,0,256,0,0
3501,1,262,0,0
3521,0,276,0,0
3541,0,264,0,0
3561,0,263,1,0
3581,1,262,0,0
3601,1,264,0,0
3621,0,273,1,0
3641,0,266,0,0
3661,1,270,0,0
3681,0,268,0,0
3701,1,273,0,0
3721,1,273,0,0
3741,1,178,0,0
3761,0,168,0,0
3781,1,170,0,0
3801,1,169,0,0
3821,0,170,0,0
3841,0,172,0,0
3861,0,170,0,0
3881,0,178,0,0
3901,0,173,0,0
3921,0,174,0,0
3941,0,177,0,1
3961,0,216,0,0
3981,0,178,0,0
4001,0,192,0,0
4021,0,182,0,0
4041,0,179,0,0
4061,0,181,0,0
4081,1,181,0,0
4101,0,182,0,1
4121,0,182,0,0
4141,0,186,0,0
4161,1,184,0,0
4181,1,190,0,0
4201,0,189,0,0
4221,0,187,1,0
4241,0,189,0,0
4261,0,192,0,0
4281,0,191,0,0
4301,0,193,0,1
4321,1,197,0,0
4341,0,194,0,0
4361,0,196,0,0
4381,1,196,0,0
4401,0,197,1,0
4421,1,197,0,0
4441,0,212,0,0
4461,1,205,0,0
4481,0,203,0,0
4501,1,202,0,0
4521,0,203,0,0
4541,0,258,0,0
4561,0,205,1,0
4581,0,206,0,0
4601,0,206,0,0
4621,1,206,0,0
4641,0,207,0,0
4661,0,209,0,0
4681,1,209,0,0
4701,0,209,0,0
4721,0,218,0,0
4741,0,212,1,0
4761,0,215,0,0
4781,1,269,0,0
4801,0,215,0,0
4821,0,243,0,0
4841,1,229,0,0
4861,0,218,1,0
4881,0,219,0,0
4901,0,222,0,0
4921,0,220,0,1
4941,1,222,0,0
4961,0,251,0,0
4981,0,227,0,0
5001,0,229,0,0
5021,0,225,0,0
5041,0,230,0,0
5061,0,229,0,1
5081,0,256,0,0
5101,0,232,0,0
5121,0,232,0,0
5141,0,230,0,0
5161,0,235,0,0
5181,0,251,0,1
5201,0,236,0,0
5221,0,235,0,0
5241,0,237,0,0
5261,1,240,0,0
5281,0,239,0,0
5301,1,243,0,0
5321,0,242,0,0
5341,0,241,0,0
5361,0,245,0,0
5381,0,242,1,0
5401,0,247,0,0
5421,0,252,0,0
5441,0,247,1,0
5461,0,250,0,0
5481,0,248,0,1
5501,0,248,0,0
5521,0,271,0,0
5541,0,251,0,0
5561,0,252,0,0
5581,0,255,0,0
5601,0,254,0,1
5621,0,258,0,0
5641,0,270,0,0
5661,0,256,0,0
5681,0,262,0,0
5701,0,258,0,0
5721,0,259,0,0
5741,0,266,0,0
5761,0,261,0,0
5781,0,277,0,0
5801,0,266,0,0
5821,0,264,0,0
5841,0,303,1,0
5861,0,266,0,0
5881,0,266,1,0
5901,0,269,0,0
5921,0,270,0,0
5941,1,275,0,0
5961,0,292,0,0
5981,0,274,0,0
6001,1,274,0,0
6021,0,274,0,0
6041,0,279,0,0
6061,0,275,0,1
6081,1,279,0,0
6101,0,281,0,0
6121,1,281,0,0
6141,0,314,0,0
6161,0,283,1,0
6181,0,284,0,0
6201,0,284,0,0
6221,0,287,0,0
6241,0,284,0,0
6261,0,285,0,1
6281,0,287,1,0
6301,0,288,0,0
6321,0,291,0,0
6341,0,288,0,0
6361,0,290,0,0
6381,0,291,0,0
6401,0,293,0,0
6421,0,297,0,0
6441,0,296,0,0
6461,0,295,0,0
6481,0,301,0,0
6501,0,298,0,0
6521,0,301,0,0
6541,1,301,0,0
6561,0,304,0,0
6581,0,304,0,0
6601,0,310,0,0
6621,0,303,1,0
6641,0,304,1,0
6661,0,305,0,0
6681,0,307,0,0
6701,0,330,1,0
6721,0,310,0,0
6741,0,310,0,0
6761,0,313,0,0
6781,0,318,0,0
6801,0,313,0,0
6821,0,315,0,0
6841,0,314,0,0
6861,0,315,0,0
6881,0,316,0,0
6901,1,320,0,0
6921,0,320,1,0
6941,0,317,0,1
6961,0,334,0,0
6981,1,323,0,0
7001,0,322,0,1
7021,1,327,0,0
7041,0,324,0,0
7061,0,337,0,0
7081,1,329,0,0
7101,0,325,0,0
7121,0,329,0,0
7141,0,327,1,0
7161,0,331,0,0
7181,0,332,0,0
7201,0,335,0,1
7221,0,355,0,0
7241,0,337,0,0
7261,0,334,0,0
7281,0,343,0,0
7301,0,336,1,0
7321,0,340,0,1
7341,0,339,0,0
7361,0,351,0,0
7381,0,342,0,0
7401,0,344,0,0
7421,0,341,0,0
7441,0,387,0,1
7461,0,377,0,0
7481,0,344,0,0
7501,0,373,0,0
7521,1,349,0,0
7541,0,353,0,0
7561,0,351,0,0
7581,0,351,0,0
7601,0,356,0,0
7621,0,354,1,0
7641,1,391,0,0
7661,0,356,0,0
7681,0,379,0,0
7701,0,353,0,0
7721,1,357,0,0
7741,0,362,0,0
7761,0,360,0,0
7781,0,361,0,1
7801,0,360,0,0
7821,0,367,0,0
7841,0,364,0,0
7861,0,367,1,0
7881,0,368,0,0
7901,0,370,1,0
7921,0,397,0,0
7941,0,369,0,0
7961,0,368,0,0
7981,1,371,0,0
8001,1,370,0,0
8021,0,374,0,0
8041,0,377,0,0
8061,0,374,0,0
8081,0,377,0,0
8101,0,377,0,0
8121,0,375,0,0
8141,0,390,0,0
8161,0,379,0,0
8181,0,379,0,1
8201,0,381,0,0
8221,0,381,0,0
8241,0,387,0,0
8261,0,388,0,0
8281,0,386,0,0
8301,1,397,0,0
8321,0,389,0,0
8341,0,389,0,1
8361,0,418,1,0
8381,0,392,0,0
8401,0,394,0,0
8421,1,391,0,0
8441,0,391,0,0
8461,0,395,0,0
8481,0,394,0,0
8501,0,397,0,0
8521,0,398,0,0
8541,1,404,0,0
8561,1,402,0,0
8581,0,400,0,0
8601,0,404,0,0
8621,0,403,0,0
8641,1,401,0,0
8661,0,406,1,0
8681,0,405,0,1
8701,0,404,0,0
8721,0,406,0,0
8741,0,414,0,0
8761,0,408,0,1
8781,0,444,0,0
8801,1,413,0,0
8821,0,412,0,0
8841,0,411,0,0
8861,0,416,0,0
8881,0,418,0,0
8901,0,415,0,0
8921,0,418,0,0
8941,0,421,0,0
8961,0,419,0,0
8981,0,453,0,0
9001,0,425,0,0
9021,0,421,0,1
9041,0,420,0,0
9061,0,423,0,0
9081,0,425,1,0
9101,0,425,0,0
9121,0,425,0,0
9141,0,428,0,0
9161,0,427,0,0
9181,0,432,0,0
9201,0,481,0,0
9221,0,433,0,0
9241,0,428,0,0
9261,0,439,0,1
9281,0,436,0,0
9301,0,436,1,0
9321,0,439,0,0
9341,0,437,0,0
9361,0,455,0,0
9381,0,445,0,0
9401,0,440,0,0
9421,0,442,0,0
9441,0,442,0,1
9461,1,445,0,0
9481,0,444,0,1
9501,0,444,0,0
9521,0,445,0,0
9541,0,446,0,1
9561,0,450,0,0
9581,0,446,0,0
9601,0,453,0,0
9621,0,490,0,0
9641,0,455,0,0
9661,1,457,0,0
9681,0,455,0,0
9701,0,503,0,0
9721,1,453,0,0
9741,0,468,0,0
9761,0,455,0,0
9781,0,457,0,0
9801,0,460,0,0
9821,0,458,0,0
9841,0,463,0,0
9861,0,462,0,0
9881,1,464,0,0
9901,0,464,0,0
9921,0,480,0,0
9941,0,465,0,0
9961,0,469,0,0
9981,0,470,0,0
